,Season,Year,Month,Hour,Holiday,Weekday,Working day,Weather situation,Temperature (normalized),Feels-like temperature (normalized),Humidity (normalized),Windspeed,Rental bikes count
39,Fall,1,10,11,0,0,0,Misty and/or cloudy,0.5,0.4848,0.51,0.3881,462
40,Winter,0,1,21,0,3,1,Clear or partly cloudy,0.32,0.2879,0.49,0.4179,59
41,Winter,0,1,21,0,2,1,Clear or partly cloudy,0.22,0.2727,0.64,0.0,48
42,Spring,1,3,9,0,2,1,Clear or partly cloudy,0.24,0.2273,0.38,0.194,267
43,Spring,0,6,1,0,3,1,Clear or partly cloudy,0.54,0.5152,0.64,0.2836,14
44,Spring,1,4,19,0,4,1,Clear or partly cloudy,0.58,0.5455,0.46,0.1343,586
45,Winter,1,1,15,0,2,1,Clear or partly cloudy,0.42,missing,0.38,0.2985,136
46,Winter,1,2,5,0,2,1,Clear or partly cloudy,0.32,0.3333,0.49,0.0896,15
47,Winter,1,1,23,0,6,0,Clear or partly cloudy,0.16,0.1515,0.47,0.2239,76
48,Spring,0,3,22,0,6,0,Misty and/or cloudy,0.28,0.2727,0.41,0.2239,63
49,Spring,1,5,23,0,2,1,missing,0.62,0.5909,0.73,0.1045,105
50,Winter,1,1,21,0,3,1,Clear or partly cloudy,0.2,0.1667,0.4,0.4179,124
51,Fall,1,12,17,0,4,1,Misty and/or cloudy,0.34,0.3333,0.66,0.194,475
52,Winter,0,1,0,0,2,1,Clear or partly cloudy,0.16,0.1818,0.55,0.1045,5
53,Fall,0,10,0,0,3,1,Clear or partly cloudy,0.44,0.4394,0.72,0.194,32
54,Fall,0,12,19,0,5,1,Clear or partly cloudy,0.34,0.3636,0.61,0.0,199
55,Summer,1,6,20,0,5,1,Misty and/or cloudy,0.76,0.697,0.55,0.5224,202
56,Summer,1,8,11,0,6,0,Clear or partly cloudy,0.86,0.803,0.47,0.2537,470
57,Fall,0,11,2,0,2,1,Misty and/or cloudy,0.36,0.3485,0.81,0.1642,4
58,Fall,0,10,16,0,0,0,Clear or partly cloudy,0.42,0.4242,0.32,0.1343,320
59,Fall,0,11,10,0,1,1,Misty and/or cloudy,0.48,0.4697,0.77,0.1343,107
60,Winter,1,12,20,0,1,1,Misty and/or cloudy,0.26,0.2576,0.6,0.1642,89
61,Spring,1,4,3,0,3,1,Misty and/or cloudy,0.5,0.4848,0.42,0.2239,6
62,Fall,0,11,11,0,2,1,Light snow or light rain,0.4,0.4091,0.94,0.1343,32
63,Spring,1,3,4,0,4,1,Clear or partly cloudy,0.52,0.5,0.36,0.2537,9
64,Summer,1,7,8,0,0,0,Clear or partly cloudy,0.84,0.803,0.53,0.1343,130
65,Winter,1,1,1,0,0,0,Clear or partly cloudy,0.3,0.2727,0.28,0.3582,73
66,Spring,1,6,6,0,2,1,Misty and/or cloudy,0.6,0.5758,0.78,0.1045,161
67,Summer,0,7,14,0,3,1,Clear or partly cloudy,0.84,0.7273,0.28,0.2239,127
68,Winter,0,2,23,0,1,1,Misty and/or cloudy,0.32,0.2879,0.81,0.3881,45
69,Spring,0,5,1,0,2,1,Misty and/or cloudy,0.56,0.5303,0.78,0.2537,14
70,Spring,1,4,18,0,6,0,Misty and/or cloudy,0.62,0.6212,0.35,0.2239,481
71,Spring,0,6,15,0,2,1,Clear or partly cloudy,0.64,0.6212,0.47,0.1642,178
72,Winter,1,2,14,0,3,1,Clear or partly cloudy,0.44,0.4394,0.54,0.3284,177
73,Summer,0,7,4,0,4,1,Clear or partly cloudy,0.64,0.5758,0.89,0.1045,4
74,Fall,0,12,16,0,3,1,Light snow or light rain,0.42,0.4242,0.94,0.194,31
75,Fall,1,10,13,0,5,1,Clear or partly cloudy,0.62,0.5909,0.73,0.2239,375
76,Fall,0,11,18,1,4,0,Clear or partly cloudy,0.42,0.4242,0.5,0.0896,37
77,Fall,1,12,20,0,0,0,Misty and/or cloudy,0.38,0.3939,0.82,0.0,122
78,Summer,1,8,13,0,3,1,Misty and/or cloudy,0.8,0.7424,0.52,0.0,313
79,Spring,1,5,4,0,3,1,Clear or partly cloudy,0.54,0.5152,0.94,0.1343,4
80,Summer,1,8,0,0,4,1,Clear or partly cloudy,0.64,0.5909,0.78,0.0,60
81,Winter,1,2,3,1,1,0,Misty and/or cloudy,0.24,0.2273,0.81,0.194,8
82,Winter,1,3,0,0,2,1,Misty and/or cloudy,0.56,0.5303,0.52,0.194,26
83,Spring,1,5,7,0,1,1,Light snow or light rain,0.52,0.5,0.94,0.194,75
84,Spring,1,4,22,0,1,1,Misty and/or cloudy,0.46,0.4545,0.41,0.4925,108
85,Spring,0,6,5,0,3,1,Clear or partly cloudy,0.48,0.4697,0.67,0.2836,21
86,Fall,1,11,1,0,4,1,Light snow or light rain,0.3,0.2727,0.52,0.3582,12
87,Winter,1,12,19,0,6,0,Clear or partly cloudy,0.24,0.2121,0.48,0.3582,60
88,Summer,1,7,23,0,3,1,Clear or partly cloudy,0.76,0.7121,0.58,0.0896,131
89,Fall,0,11,19,0,5,1,Clear or partly cloudy,0.4,0.4091,0.37,0.3582,196
90,Spring,1,4,1,0,1,1,Clear or partly cloudy,0.46,0.4545,0.41,0.1343,16
91,Winter,1,1,21,0,1,1,Misty and/or cloudy,0.26,0.2424,1.0,0.2836,120
92,Spring,1,5,23,0,0,0,Misty and/or cloudy,0.62,0.6212,0.57,0.2239,74
93,Summer,0,8,9,0,1,1,Clear or partly cloudy,0.76,0.697,0.55,0.3881,183
94,Spring,0,6,9,0,3,1,Clear or partly cloudy,0.6,0.6212,0.49,0.0,207
95,Spring,0,5,22,0,0,0,Clear or partly cloudy,0.56,0.5303,0.83,0.0,117
96,Fall,1,10,3,0,6,0,Clear or partly cloudy,0.54,0.5152,0.77,0.2239,56
97,Summer,1,7,5,0,0,0,Clear or partly cloudy,0.6,0.5455,0.88,0.0,6
98,Fall,0,10,3,0,missing,1,Clear or partly cloudy,0.24,0.2576,0.87,0.1045,3
99,Spring,0,4,5,0,6,0,Clear or partly cloudy,0.42,0.4242,0.54,0.3881,7
100,Summer,1,9,13,0,4,1,missing,0.7,0.6364,0.42,0.0,283
101,Fall,1,9,1,0,0,0,Clear or partly cloudy,0.54,0.5152,0.52,0.3582,142
102,Winter,1,3,0,0,1,1,Clear or partly cloudy,0.48,0.4697,0.82,0.1045,23
103,Fall,1,11,20,0,6,0,Clear or partly cloudy,0.44,0.4394,0.54,0.0,192
104,Winter,1,3,8,0,6,0,Clear or partly cloudy,0.22,0.2121,0.44,0.2985,111
105,Fall,1,9,16,0,6,0,Clear or partly cloudy,0.62,0.6212,0.41,0.2537,722
106,Summer,0,9,4,0,6,0,Clear or partly cloudy,0.46,0.4545,0.72,0.1343,5
107,Summer,1,9,3,1,1,0,Clear or partly cloudy,0.66,0.5909,0.89,0.1343,28
108,Fall,1,11,23,0,5,1,Clear or partly cloudy,0.32,0.3333,0.81,0.0896,162
109,Spring,0,6,15,0,0,0,Clear or partly cloudy,0.7,0.6515,0.54,0.0,417
110,Spring,0,6,22,0,4,1,Misty and/or cloudy,0.74,0.6818,0.58,0.1642,153
111,Summer,0,7,15,0,4,1,Clear or partly cloudy,0.86,0.8182,0.5,0.194,146
112,Fall,0,9,19,0,2,1,Misty and/or cloudy,0.64,0.5758,0.89,0.1343,320
113,Winter,0,2,18,0,0,0,Clear or partly cloudy,0.4,0.4091,0.54,0.194,127
114,Winter,0,1,19,0,4,1,Clear or partly cloudy,0.2,0.2273,0.69,0.0896,79
115,Summer,0,8,10,0,1,1,Clear or partly cloudy,0.66,0.6212,0.47,0.2239,115
116,Fall,1,10,2,0,2,1,Clear or partly cloudy,0.44,0.4394,0.88,0.1343,7
117,Fall,0,10,7,0,5,1,Clear or partly cloudy,0.28,0.2727,0.65,0.2537,205
118,Summer,1,8,23,0,3,1,Clear or partly cloudy,0.66,0.6212,0.57,0.0,157
119,Spring,1,5,13,0,3,1,Clear or partly cloudy,0.7,0.6515,0.51,0.0,289
120,Winter,1,3,22,0,5,1,Misty and/or cloudy,0.36,0.3788,0.87,0.0,75
121,Winter,0,2,10,0,3,1,Clear or partly cloudy,0.14,0.1818,0.36,0.0,59
122,Summer,0,7,9,0,6,0,Clear or partly cloudy,0.84,0.7879,0.49,0.1642,132
123,Fall,0,10,11,0,3,1,Clear or partly cloudy,0.52,0.5,0.59,0.3284,155
124,Winter,0,3,19,0,1,1,Clear or partly cloudy,0.3,0.2879,0.33,0.2239,145
125,Fall,1,12,7,0,3,1,Light snow or light rain,0.46,0.4545,0.59,0.2985,398
126,Summer,1,6,16,0,4,1,Clear or partly cloudy,0.88,0.7424,0.23,0.194,387
127,Spring,0,5,23,0,1,1,Clear or partly cloudy,0.5,0.4848,0.68,0.0896,61
128,Winter,1,12,1,0,1,1,Clear or partly cloudy,0.18,0.1818,0.55,0.194,19
129,Summer,0,9,16,0,2,1,Clear or partly cloudy,0.74,0.6667,0.51,0.2239,292
130,Winter,0,12,3,0,5,1,Clear or partly cloudy,0.24,0.2576,0.7,0.1045,6
131,Fall,1,11,5,0,6,0,Clear or partly cloudy,0.24,0.2424,0.7,0.1642,11
132,Spring,1,5,17,0,0,0,Clear or partly cloudy,0.72,0.6515,0.45,0.3284,549
133,Fall,1,9,2,0,2,1,Clear or partly cloudy,0.42,0.4242,0.77,0.1343,14
134,Winter,1,1,10,0,2,1,Light snow or light rain,0.3,0.2879,0.87,0.2537,62
135,Fall,1,9,20,0,4,1,Misty and/or cloudy,0.64,0.6061,0.69,0.2239,457
136,Spring,0,4,22,0,0,0,Clear or partly cloudy,0.4,0.4091,0.43,0.1045,36
137,Winter,1,3,18,0,2,1,Clear or partly cloudy,0.6,0.5909,0.69,0.2537,801
138,Fall,1,11,13,0,4,1,Clear or partly cloudy,0.44,0.4394,0.18,0.4179,228
139,Summer,1,8,6,0,5,1,Clear or partly cloudy,0.66,0.6061,0.83,0.2239,163
140,Summer,0,7,1,0,4,1,Misty and/or cloudy,0.74,0.7273,0.84,0.2239,21
141,Spring,1,4,10,0,0,0,Misty and/or cloudy,0.4,0.4091,0.71,0.1045,360
142,Summer,0,8,5,0,2,1,Clear or partly cloudy,0.54,0.5152,0.56,0.194,36
143,Summer,0,9,1,0,4,1,Misty and/or cloudy,0.6,0.5152,0.94,0.0896,11
144,Spring,0,3,9,0,4,1,Light snow or light rain,0.26,0.2424,0.93,0.2537,132
145,Summer,0,7,0,0,6,0,Clear or partly cloudy,0.76,0.697,0.55,0.194,133
146,Fall,1,10,14,0,4,1,Clear or partly cloudy,0.7,0.6515,0.61,0.2537,267
147,Fall,0,10,20,0,0,0,Clear or partly cloudy,0.54,0.5152,0.52,0.4627,178
148,Fall,0,10,17,0,0,0,Clear or partly cloudy,0.5,0.4848,0.63,0.1343,340
149,Summer,0,7,20,0,0,0,Clear or partly cloudy,0.76,0.697,0.55,0.194,268
150,Summer,0,8,16,0,5,missing,Clear or partly cloudy,0.82,0.7121,0.28,0.0,334
151,Summer,0,8,22,0,1,1,Clear or partly cloudy,0.66,0.6212,0.69,0.2537,98
152,Summer,0,9,18,0,5,1,Misty and/or cloudy,0.52,0.5,0.52,0.1642,482
153,Winter,0,1,8,0,0,0,Misty and/or cloudy,0.14,0.2121,0.86,0.0,12
154,Fall,0,12,1,0,4,1,Clear or partly cloudy,0.26,0.2273,0.81,0.3582,7
155,Summer,0,7,18,0,6,0,Clear or partly cloudy,0.92,0.8788,0.4,0.2239,196
156,Winter,1,3,8,0,1,1,Clear or partly cloudy,0.2,0.2273,0.59,0.1045,428
157,Spring,0,4,13,0,4,1,Clear or partly cloudy,0.48,0.4697,0.33,0.3284,177
158,Fall,1,10,4,0,3,1,Clear or partly cloudy,0.5,0.4848,0.77,0.0896,6
159,Winter,0,2,23,1,1,0,Light snow or light rain,0.2,0.1667,0.75,0.4179,2
160,Summer,1,8,23,0,3,1,Clear or partly cloudy,0.7,0.6667,0.74,0.0,152
161,Summer,0,9,21,0,4,1,Misty and/or cloudy,0.64,0.5758,0.89,0.0896,221
162,Winter,1,1,3,0,5,1,Misty and/or cloudy,0.42,0.4242,0.94,0.2836,8
163,Fall,1,10,2,0,4,1,Clear or partly cloudy,0.64,0.5758,0.89,0.0,13
164,Winter,1,3,9,0,2,1,Misty and/or cloudy,0.54,0.5152,0.88,0.1642,325
165,Fall,0,10,7,0,6,0,Clear or partly cloudy,0.4,0.4091,0.76,0.1045,57
166,Winter,0,2,9,0,0,0,Clear or partly cloudy,0.22,0.2121,0.47,0.2836,55
167,Winter,1,1,23,0,1,1,Misty and/or cloudy,0.28,0.2576,0.93,0.3284,37
168,Winter,1,1,14,0,4,1,Misty and/or cloudy,0.4,0.4091,0.71,0.1045,128
169,Winter,0,1,15,0,4,1,Clear or partly cloudy,0.28,0.2727,0.36,0.0,62
170,Winter,1,2,14,0,4,1,Clear or partly cloudy,0.54,0.5152,0.37,0.2537,192
171,Winter,0,1,10,0,6,0,Misty and/or cloudy,0.18,0.2121,0.64,0.1045,55
172,Fall,1,10,missing,0,5,1,Clear or partly cloudy,0.6,0.5606,0.83,0.194,252
173,Winter,1,1,8,0,2,1,Clear or partly cloudy,0.26,0.2727,0.6,0.1045,512
174,Fall,0,10,10,0,5,1,Clear or partly cloudy,0.34,0.3182,0.57,0.2239,130
175,Fall,1,12,12,0,4,1,Clear or partly cloudy,0.28,0.3182,0.41,0.0,235
176,Summer,0,7,11,0,6,0,Clear or partly cloudy,0.8,0.7121,0.36,0.0896,357
177,Summer,0,8,1,0,5,1,Clear or partly cloudy,0.62,0.5758,0.83,0.0,23
178,Spring,0,6,16,0,0,0,Clear or partly cloudy,0.72,0.6667,0.51,0.0896,398
179,Fall,0,11,0,0,2,1,Clear or partly cloudy,0.34,0.3485,0.87,0.0896,18
180,Fall,0,12,22,0,3,1,Light snow or light rain,0.24,0.197,0.93,0.4478,13
181,Fall,0,12,5,0,5,1,Clear or partly cloudy,0.22,0.2576,0.8,0.0896,23
182,Winter,1,2,10,0,2,1,Clear or partly cloudy,0.3,0.2727,0.42,0.2985,132
183,Fall,1,9,2,0,0,0,Clear or partly cloudy,0.52,0.5,0.48,0.2537,95
184,Spring,0,5,11,0,0,0,Clear or partly cloudy,0.58,0.5455,0.49,0.0896,340
185,Spring,1,5,13,0,1,1,Misty and/or cloudy,0.62,0.5909,0.73,0.2239,176
186,Spring,0,4,19,0,1,1,Clear or partly cloudy,0.7,0.6364,0.24,0.4627,278
187,Spring,0,5,16,0,1,1,Misty and/or cloudy,0.72,0.6818,0.62,0.2985,279
188,Fall,0,11,18,0,1,1,Clear or partly cloudy,0.56,0.5303,0.56,0.2836,489
189,Spring,1,5,14,0,2,1,Light snow or light rain,0.62,0.6061,0.69,0.3284,71
190,Spring,0,4,22,0,0,0,Clear or partly cloudy,0.44,0.4394,0.94,0.2537,57
191,Fall,1,11,13,0,4,1,Misty and/or cloudy,0.38,0.3939,0.54,0.1045,217
192,Spring,0,6,4,0,0,0,Clear or partly cloudy,0.62,0.5606,0.88,0.1642,14
193,Spring,0,5,0,0,1,1,Clear or partly cloudy,0.46,0.4545,0.72,0.1343,177
194,Spring,1,4,17,0,6,0,Misty and/or cloudy,0.42,0.4242,0.41,0.1343,322
195,Spring,1,6,10,0,5,1,Clear or partly cloudy,0.64,0.6212,0.57,0.1642,216
196,Winter,0,2,1,0,0,0,Clear or partly cloudy,0.26,0.2576,0.87,0.194,37
197,Spring,0,4,1,0,0,0,Misty and/or cloudy,0.38,0.3939,0.87,0.1343,37
198,Fall,0,12,12,0,1,1,Clear or partly cloudy,0.3,0.2727,0.61,0.3284,141
199,Winter,1,2,16,0,3,1,Clear or partly cloudy,0.52,0.5,0.29,0.4627,298
200,Fall,0,10,16,0,4,1,Clear or partly cloudy,0.66,0.6212,0.74,0.2239,276
201,Winter,1,2,12,0,6,0,Misty and/or cloudy,0.3,0.3182,0.7,0.0896,300
202,Summer,1,7,2,0,1,1,Clear or partly cloudy,0.7,0.6667,0.74,0.1045,15
203,Winter,1,3,2,0,6,0,Clear or partly cloudy,0.26,0.2424,0.41,0.2537,42
204,Fall,0,10,20,0,2,1,Clear or partly cloudy,0.52,0.5,0.68,0.2239,261
205,Summer,1,7,0,0,6,0,Light snow or light rain,0.62,0.5758,0.83,0.2836,103
206,Summer,1,7,13,0,4,1,Clear or partly cloudy,0.84,0.7727,0.47,0.1343,254
207,Spring,0,6,20,0,4,1,Clear or partly cloudy,0.62,0.5758,0.83,0.3284,201
208,Winter,1,3,20,0,3,1,Clear or partly cloudy,0.62,0.6212,0.35,0.1045,330
209,Fall,0,10,17,0,4,1,Misty and/or cloudy,0.48,0.4697,0.48,0.3881,494
210,Fall,0,11,22,0,6,0,Clear or partly cloudy,0.42,0.4242,0.47,0.2537,118
211,Fall,0,12,2,0,1,1,Clear or partly cloudy,0.2,0.2576,0.69,0.0,4
212,Winter,1,1,21,0,4,1,Misty and/or cloudy,0.4,0.4091,0.76,0.1045,192
213,Winter,1,2,0,0,2,1,Misty and/or cloudy,0.26,0.303,0.6,0.0,14
214,Winter,0,3,11,0,6,0,Clear or partly cloudy,0.34,0.303,0.49,0.3284,119
215,Summer,1,8,3,0,0,0,Misty and/or cloudy,0.62,0.6061,0.61,0.1642,55
216,Fall,1,12,11,0,2,1,Clear or partly cloudy,0.48,0.4697,0.77,0.194,207
217,Summer,0,8,11,0,1,1,Clear or partly cloudy,0.88,0.7727,0.32,0.1642,119
218,Summer,1,8,8,0,1,1,Clear or partly cloudy,0.66,0.6061,0.83,0.0896,699
219,Spring,missing,6,16,0,5,1,Clear or partly cloudy,0.72,0.6515,0.37,0.194,558
220,Spring,1,5,9,0,5,1,Clear or partly cloudy,0.48,0.4697,0.41,0.2985,322
221,Summer,1,9,20,0,5,1,Clear or partly cloudy,0.62,0.6061,0.69,0.194,369
222,Winter,1,1,23,0,0,0,Misty and/or cloudy,0.16,0.1818,0.93,0.1045,37
223,Winter,0,3,21,0,2,1,Clear or partly cloudy,0.3,0.2879,0.49,0.194,75
224,Winter,0,1,17,0,3,1,Light snow or light rain,0.2,0.1818,0.93,0.3582,26
225,Spring,1,5,14,0,2,1,Misty and/or cloudy,0.74,0.6667,0.48,0.2537,204
226,Winter,1,2,3,0,6,0,Clear or partly cloudy,0.28,0.2879,0.65,0.1045,18
227,Spring,0,4,12,0,1,1,Clear or partly cloudy,0.66,0.6212,0.74,0.2537,188
228,Fall,0,11,4,0,0,0,Clear or partly cloudy,0.34,0.3485,0.87,0.1045,4
229,Fall,0,12,10,0,5,1,Misty and/or cloudy,0.3,0.303,0.7,0.1642,126
230,Summer,0,9,0,0,1,1,Misty and/or cloudy,0.52,0.5,0.72,0.1642,37
231,Fall,1,10,18,0,1,1,Clear or partly cloudy,0.54,0.5152,0.64,0.1045,786
232,Fall,0,12,11,0,3,1,Misty and/or cloudy,0.34,0.3636,0.55,0.0,115
233,Spring,1,6,missing,0,6,0,Clear or partly cloudy,0.84,0.7121,0.24,0.0,495
234,Spring,1,5,0,0,2,1,Misty and/or cloudy,0.52,0.5,0.52,0.2537,38
235,Winter,0,2,17,0,5,1,Clear or partly cloudy,0.3,0.3333,0.24,0.0,211
236,Winter,1,1,8,0,4,1,Clear or partly cloudy,0.12,0.1515,0.54,0.1045,423
237,Winter,1,1,11,0,2,1,Clear or partly cloudy,0.34,0.3333,0.87,0.1343,153
238,Spring,0,4,8,0,5,1,Misty and/or cloudy,0.26,0.2424,0.87,0.2537,206
239,Summer,1,7,12,0,3,1,Misty and/or cloudy,0.78,0.697,0.43,0.0,292
240,Summer,1,7,21,1,3,0,Clear or partly cloudy,0.84,0.803,0.53,0.1343,584
241,Fall,0,10,12,0,1,1,Misty and/or cloudy,0.52,0.5,0.68,0.1045,220
242,Spring,0,4,6,0,1,1,Misty and/or cloudy,0.46,0.4545,1.0,0.2239,61
243,Fall,1,10,5,0,0,0,Misty and/or cloudy,0.5,0.4848,0.63,0.2985,28
244,Winter,1,2,7,0,4,1,Clear or partly cloudy,0.36,0.3485,0.81,0.2239,326
245,Spring,0,5,18,0,5,1,Light snow or light rain,0.52,0.5,0.88,0.1642,398
246,Fall,1,12,22,0,3,1,Misty and/or cloudy,0.3,0.2879,0.52,0.2239,122
247,Fall,1,12,0,0,5,1,Clear or partly cloudy,0.22,0.2576,0.64,0.0896,47
248,Fall,0,11,15,0,3,1,Clear or partly cloudy,0.36,0.3333,0.46,0.3284,115
249,Summer,1,8,9,0,1,1,Misty and/or cloudy,0.64,0.6061,0.69,0.0,357
250,Winter,1,1,12,0,2,1,Clear or partly cloudy,0.42,0.4242,0.38,0.2985,140
251,Spring,0,4,11,0,6,0,Misty and/or cloudy,0.46,0.4545,0.88,0.2239,232
252,Summer,1,9,20,0,6,0,Light snow or light rain,0.76,0.7273,0.67,0.2537,207
253,Fall,1,10,23,0,4,1,Clear or partly cloudy,0.6,0.6212,0.56,0.0896,155
254,Winter,1,2,19,0,5,1,Misty and/or cloudy,0.32,0.3485,0.57,0.0,262
255,Summer,1,8,21,0,4,1,Clear or partly cloudy,0.74,0.6667,0.48,0.194,356
256,Summer,1,9,6,0,5,1,Clear or partly cloudy,0.54,0.5152,0.88,0.0,152
257,Spring,0,4,0,0,6,0,Misty and/or cloudy,0.3,0.3333,0.61,0.0,32
258,Summer,0,7,10,0,1,1,Clear or partly cloudy,0.8,0.7576,0.55,0.3582,117
259,Spring,0,4,18,0,6,0,Clear or partly cloudy,0.54,0.5152,0.43,0.1343,371
260,Summer,0,7,9,0,1,1,Clear or partly cloudy,0.78,0.7424,0.59,0.2985,208
261,Winter,0,1,21,1,1,0,Light snow or light rain,0.16,0.1515,0.8,0.194,27
262,Fall,1,11,22,0,3,1,Clear or partly cloudy,0.28,0.2727,0.45,0.1642,154
263,Winter,0,1,17,0,4,1,Clear or partly cloudy,0.22,0.2273,0.51,0.1642,172
264,Fall,0,12,9,0,1,1,Misty and/or cloudy,0.18,0.2121,0.74,0.0896,220
265,Summer,0,8,5,0,3,1,Clear or partly cloudy,0.64,0.6061,0.73,0.0,28
266,Summer,1,9,22,0,2,1,Clear or partly cloudy,0.56,0.5303,0.64,0.1045,216
267,Fall,0,10,6,0,0,0,Clear or partly cloudy,0.44,0.4394,0.88,0.0,21
268,Fall,1,11,18,0,6,0,Clear or partly cloudy,0.36,0.3636,0.5,0.1045,271
269,Summer,1,7,20,0,2,1,Light snow or light rain,0.64,0.5758,0.83,0.2239,84
270,Fall,0,12,14,0,6,0,missing,0.36,0.3788,0.46,0.0,343
271,Fall,1,11,7,0,2,1,Clear or partly cloudy,0.2,0.2121,0.69,0.1642,387
272,Spring,0,5,19,0,2,1,Clear or partly cloudy,0.6,0.5909,0.69,0.2537,349
273,Spring,0,6,17,0,3,1,Clear or partly cloudy,0.92,0.8485,0.35,0.2239,506
274,Winter,0,1,0,0,4,1,Clear or partly cloudy,0.18,0.2424,0.55,0.0,11
275,Fall,1,10,4,0,1,1,Clear or partly cloudy,0.38,0.3939,0.66,0.0,7
276,Winter,1,3,14,0,1,1,Misty and/or cloudy,0.28,0.2576,0.57,0.3582,128
277,Winter,0,12,8,0,6,0,Clear or partly cloudy,0.28,0.2727,0.7,0.194,27
278,Winter,1,1,11,0,5,1,Misty and/or cloudy,0.48,0.4697,0.94,0.1343,105
279,Summer,0,6,14,0,3,1,Misty and/or cloudy,0.82,0.7727,0.52,0.2836,145
280,Winter,0,2,2,0,1,1,Clear or partly cloudy,0.36,0.3333,0.4,0.2985,2
281,Summer,0,8,19,0,2,1,Clear or partly cloudy,0.66,0.6212,0.5,0.2239,367
282,Spring,1,4,5,0,1,1,Clear or partly cloudy,0.38,0.3939,0.62,0.2537,20
283,Fall,1,12,6,0,4,1,Clear or partly cloudy,0.22,0.2121,0.55,0.2985,124
284,Summer,1,9,0,0,2,1,Clear or partly cloudy,0.52,0.5,0.59,0.1045,32
